model_name,seg_method,input_method,aug_type,model_type,parameters,training_time_seconds,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_f1_mean,test_f1_std,seed_runs
Baseline_standard_efficientnet_b0,none,raw,standard,efficientnet_b0,4057507,4017.4725000858307,0.9960509782803806,0.0020560504129637546,0.9961637986959854,0.001978284088737256,0.9960598308420044,0.0020497244468355522,"[{'seed': 42, 'test_accuracy': 0.9922814575480166, 'test_precision': 0.9925272035899454, 'test_recall': 0.9922814575480166, 'test_f1_score': 0.9923005828867336, 'training_time_seconds': 421.30728554725647, 'best_epoch': 4}, {'seed': 43, 'test_accuracy': 0.9965894812421469, 'test_precision': 0.9966222368229213, 'test_recall': 0.9965894812421469, 'test_f1_score': 0.9965800114295776, 'training_time_seconds': 509.02296566963196, 'best_epoch': 10}, {'seed': 44, 'test_accuracy': 0.9983844911147012, 'test_precision': 0.9984111021555262, 'test_recall': 0.9983844911147012, 'test_f1_score': 0.9983883424706343, 'training_time_seconds': 1415.3664891719818, 'best_epoch': 42}, {'seed': 45, 'test_accuracy': 0.9958714772931251, 'test_precision': 0.9960593863466551, 'test_recall': 0.9958714772931251, 'test_f1_score': 0.9958955135916248, 'training_time_seconds': 595.7499988079071, 'best_epoch': 13}, {'seed': 46, 'test_accuracy': 0.9971279842039131, 'test_precision': 0.9971990645648788, 'test_recall': 0.9971279842039131, 'test_f1_score': 0.9971347038314519, 'training_time_seconds': 1076.0257608890533, 'best_epoch': 30}]"
Baseline_heavy_efficientnet_b0,none,raw,heavy,efficientnet_b0,4057507,4682.294016838074,0.9948303715670436,0.003074448977347915,0.9949904866870373,0.0029077729808961376,0.9948317208244213,0.003072991667352428,"[{'seed': 42, 'test_accuracy': 0.9982049901274457, 'test_precision': 0.9982153620521098, 'test_recall': 0.9982049901274457, 'test_f1_score': 0.9982057530118211, 'training_time_seconds': 1500.9021260738373, 'best_epoch': 42}, {'seed': 43, 'test_accuracy': 0.9953329743313588, 'test_precision': 0.995560321202846, 'test_recall': 0.9953329743313588, 'test_f1_score': 0.9953578774927577, 'training_time_seconds': 880.323816537857, 'best_epoch': 23}, {'seed': 44, 'test_accuracy': 0.996230479267636, 'test_precision': 0.9962555985934866, 'test_recall': 0.996230479267636, 'test_f1_score': 0.9962287860886886, 'training_time_seconds': 1023.7637946605682, 'best_epoch': 28}, {'seed': 45, 'test_accuracy': 0.9890504397774188, 'test_precision': 0.9895322845125328, 'test_recall': 0.9890504397774188, 'test_f1_score': 0.9890547385305728, 'training_time_seconds': 483.9500102996826, 'best_epoch': 9}, {'seed': 46, 'test_accuracy': 0.9953329743313588, 'test_precision': 0.9953888670742109, 'test_recall': 0.9953329743313588, 'test_f1_score': 0.9953114489982666, 'training_time_seconds': 793.3542692661285, 'best_epoch': 20}]"
Baseline_standard_shufflenetv2,none,raw,standard,shufflenetv2,1293579,10969.994592189789,0.9935379644588046,0.0011521670461950308,0.9937458754327402,0.0010478115286428804,0.9935458846551262,0.001143135472895863,"[{'seed': 42, 'test_accuracy': 0.9924609585352719, 'test_precision': 0.9927520460110201, 'test_recall': 0.9924609585352719, 'test_f1_score': 0.9924707789242142, 'training_time_seconds': 2194.978796005249, 'best_epoch': 20}, {'seed': 43, 'test_accuracy': 0.9931789624842937, 'test_precision': 0.9933969020423727, 'test_recall': 0.9931789624842937, 'test_f1_score': 0.9931798264418107, 'training_time_seconds': 1615.3591496944427, 'best_epoch': 15}, {'seed': 44, 'test_accuracy': 0.9946149703823371, 'test_precision': 0.9947506428251643, 'test_recall': 0.9946149703823371, 'test_f1_score': 0.9946265126930446, 'training_time_seconds': 2176.4049661159515, 'best_epoch': 23}, {'seed': 45, 'test_accuracy': 0.9922814575480166, 'test_precision': 0.9926277695731793, 'test_recall': 0.9922814575480166, 'test_f1_score': 0.9923099618420727, 'training_time_seconds': 1895.1494317054749, 'best_epoch': 19}, {'seed': 46, 'test_accuracy': 0.9951534733441034, 'test_precision': 0.9952020167119643, 'test_recall': 0.9951534733441034, 'test_f1_score': 0.9951423433744883, 'training_time_seconds': 3088.1022486686707, 'best_epoch': 36}]"
SG-OTSU-cropping_standard_efficientnet_b0,otsu,cropping,standard,efficientnet_b0,4057507,4248.698574781418,0.9934661640639023,0.001121558022029305,0.9936436779354064,0.0009893626392823446,0.9934742699554453,0.0010975910312880728,"[{'seed': 42, 'test_accuracy': 0.9944354693950817, 'test_precision': 0.9945564311598746, 'test_recall': 0.9944354693950817, 'test_f1_score': 0.9944435455550036, 'training_time_seconds': 1024.9023458957672, 'best_epoch': 26}, {'seed': 43, 'test_accuracy': 0.9940764674205708, 'test_precision': 0.9940976228563114, 'test_recall': 0.9940764674205708, 'test_f1_score': 0.9940645124765194, 'training_time_seconds': 925.5963547229767, 'best_epoch': 25}, {'seed': 44, 'test_accuracy': 0.9928199605097828, 'test_precision': 0.9929291891885559, 'test_recall': 0.9928199605097828, 'test_f1_score': 0.9928135513436191, 'training_time_seconds': 673.2822277545929, 'best_epoch': 16}, {'seed': 45, 'test_accuracy': 0.9944354693950817, 'test_precision': 0.9945689374918495, 'test_recall': 0.9944354693950817, 'test_f1_score': 0.994420430944204, 'training_time_seconds': 838.6435716152191, 'best_epoch': 22}, {'seed': 46, 'test_accuracy': 0.9915634535989948, 'test_precision': 0.9920662089804406, 'test_recall': 0.9915634535989948, 'test_f1_score': 0.9916293094578804, 'training_time_seconds': 786.2740747928619, 'best_epoch': 20}]"
Baseline_standard_mobilenetv3,none,raw,standard,mobilenetv3,1557831,12347.804240703583,0.9926045593250763,0.0045416232922975254,0.9928816516968526,0.004171443020407517,0.9926078763500632,0.004533884799069911,"[{'seed': 42, 'test_accuracy': 0.9955124753186142, 'test_precision': 0.9955575277352466, 'test_recall': 0.9955124753186142, 'test_f1_score': 0.9955128500653418, 'training_time_seconds': 2628.468125104904, 'best_epoch': 27}, {'seed': 43, 'test_accuracy': 0.997486986178424, 'test_precision': 0.997510978352554, 'test_recall': 0.997486986178424, 'test_f1_score': 0.9974898706054113, 'training_time_seconds': 3443.9083380699158, 'best_epoch': 45}, {'seed': 44, 'test_accuracy': 0.9843834141087776, 'test_precision': 0.9854556069280594, 'test_recall': 0.9843834141087776, 'test_f1_score': 0.9844112476738203, 'training_time_seconds': 964.9663324356079, 'best_epoch': 6}, {'seed': 45, 'test_accuracy': 0.9940764674205708, 'test_precision': 0.9942188389995894, 'test_recall': 0.9940764674205708, 'test_f1_score': 0.9940853386326538, 'training_time_seconds': 3437.948049068451, 'best_epoch': 50}, {'seed': 46, 'test_accuracy': 0.9915634535989948, 'test_precision': 0.9916653064688135, 'test_recall': 0.9915634535989948, 'test_f1_score': 0.9915400747730889, 'training_time_seconds': 1872.513396024704, 'best_epoch': 16}]"
Baseline_standard_mobilenetv2,none,raw,standard,mobilenetv2,2899751,9949.96063709259,0.9921737569556633,0.006002530190924977,0.9924434907524562,0.00567679957942408,0.9921786243188941,0.005998734915840073,"[{'seed': 42, 'test_accuracy': 0.9955124753186142, 'test_precision': 0.9955439081241212, 'test_recall': 0.9955124753186142, 'test_f1_score': 0.9955018638874753, 'training_time_seconds': 2577.2011630535126, 'best_epoch': 26}, {'seed': 43, 'test_accuracy': 0.9980254891401903, 'test_precision': 0.998089393318537, 'test_recall': 0.9980254891401903, 'test_f1_score': 0.998030709718309, 'training_time_seconds': 2670.4580311775208, 'best_epoch': 38}, {'seed': 44, 'test_accuracy': 0.9967689822294022, 'test_precision': 0.9968116812174339, 'test_recall': 0.9967689822294022, 'test_f1_score': 0.9967669809374623, 'training_time_seconds': 2845.1434288024902, 'best_epoch': 41}, {'seed': 45, 'test_accuracy': 0.9822294022617124, 'test_precision': 0.9831876077358284, 'test_recall': 0.9822294022617124, 'test_f1_score': 0.9822258881893098, 'training_time_seconds': 811.7227067947388, 'best_epoch': 6}, {'seed': 46, 'test_accuracy': 0.988332435828397, 'test_precision': 0.9885848633663608, 'test_recall': 0.988332435828397, 'test_f1_score': 0.9883676788619145, 'training_time_seconds': 1045.435307264328, 'best_epoch': 10}]"
SG-OTSU-cropping_heavy_efficientnet_b0,otsu,cropping,heavy,efficientnet_b0,4057507,5448.918448925018,0.9917070543887991,0.0042755914359244316,0.9918593982755549,0.0041267001201914354,0.9916640379269017,0.0043618069480076795,"[{'seed': 42, 'test_accuracy': 0.9924609585352719, 'test_precision': 0.9925935497095479, 'test_recall': 0.9924609585352719, 'test_f1_score': 0.9924738269156718, 'training_time_seconds': 1193.5332498550415, 'best_epoch': 31}, {'seed': 43, 'test_accuracy': 0.9946149703823371, 'test_precision': 0.9946562191246401, 'test_recall': 0.9946149703823371, 'test_f1_score': 0.9946196007806162, 'training_time_seconds': 1486.4462761878967, 'best_epoch': 45}, {'seed': 44, 'test_accuracy': 0.9946149703823371, 'test_precision': 0.9946339546264678, 'test_recall': 0.9946149703823371, 'test_f1_score': 0.9946039787869717, 'training_time_seconds': 1411.5382199287415, 'best_epoch': 42}, {'seed': 45, 'test_accuracy': 0.9935379644588045, 'test_precision': 0.9936669300988414, 'test_recall': 0.9935379644588045, 'test_f1_score': 0.9935369040813828, 'training_time_seconds': 904.6156339645386, 'best_epoch': 24}, {'seed': 46, 'test_accuracy': 0.9833064081852451, 'test_precision': 0.9837463378182771, 'test_recall': 0.9833064081852451, 'test_f1_score': 0.983085879069866, 'training_time_seconds': 452.78506898880005, 'best_epoch': 8}]"
SG-OTSU-masking_standard_efficientnet_b0,otsu,masking,standard,efficientnet_b0,4057507,4269.24872469902,0.9913480524142884,0.0027561439910492222,0.99152481771065,0.0026514282540711378,0.9913475663989686,0.0027584474678156957,"[{'seed': 42, 'test_accuracy': 0.9904864476754622, 'test_precision': 0.9907752353058413, 'test_recall': 0.9904864476754622, 'test_f1_score': 0.990516193053204, 'training_time_seconds': 875.1982941627502, 'best_epoch': 20}, {'seed': 43, 'test_accuracy': 0.9935379644588045, 'test_precision': 0.9936023357516267, 'test_recall': 0.9935379644588045, 'test_f1_score': 0.9935360627538399, 'training_time_seconds': 1182.4247121810913, 'best_epoch': 34}, {'seed': 44, 'test_accuracy': 0.9955124753186142, 'test_precision': 0.9955285961389698, 'test_recall': 0.9955124753186142, 'test_f1_score': 0.9955088944122363, 'training_time_seconds': 1096.3125159740448, 'best_epoch': 31}, {'seed': 45, 'test_accuracy': 0.9885119368156525, 'test_precision': 0.9887394307565343, 'test_recall': 0.9885119368156525, 'test_f1_score': 0.9884854755608129, 'training_time_seconds': 557.5729646682739, 'best_epoch': 12}, {'seed': 46, 'test_accuracy': 0.9886914378029079, 'test_precision': 0.9889784906002783, 'test_recall': 0.9886914378029079, 'test_f1_score': 0.9886912062147504, 'training_time_seconds': 557.7402377128601, 'best_epoch': 12}]"
SG-OTSU-cropping_standard_shufflenetv2,otsu,cropping,standard,shufflenetv2,1293579,20340.170882463455,0.9909890504397774,0.0034159938669151456,0.9911185023495156,0.0033467876558095472,0.9909746574655385,0.003425953302706637,"[{'seed': 42, 'test_accuracy': 0.9933584634715491, 'test_precision': 0.9934226707637311, 'test_recall': 0.9933584634715491, 'test_f1_score': 0.9933575154923401, 'training_time_seconds': 5216.566160440445, 'best_epoch': 29}, {'seed': 43, 'test_accuracy': 0.9921019565607611, 'test_precision': 0.9922147027492976, 'test_recall': 0.9921019565607611, 'test_f1_score': 0.9920917326232325, 'training_time_seconds': 5816.306831121445, 'best_epoch': 35}, {'seed': 44, 'test_accuracy': 0.9926404595225273, 'test_precision': 0.9928084284080932, 'test_recall': 0.9926404595225273, 'test_f1_score': 0.992626698576125, 'training_time_seconds': 5682.775585889816, 'best_epoch': 34}, {'seed': 45, 'test_accuracy': 0.9926404595225273, 'test_precision': 0.9926771756719546, 'test_recall': 0.9926404595225273, 'test_f1_score': 0.9926271009653029, 'training_time_seconds': 2561.840042591095, 'best_epoch': 28}, {'seed': 46, 'test_accuracy': 0.9842039131215222, 'test_precision': 0.984469534154502, 'test_recall': 0.9842039131215222, 'test_f1_score': 0.9841702396706922, 'training_time_seconds': 1062.6822624206543, 'best_epoch': 7}]"
SG-OTSU-cropping_standard_mobilenetv2,otsu,cropping,standard,mobilenetv2,2899751,10171.631689310074,0.9900197451085979,0.004645713041987594,0.9902130789857788,0.004465788652389874,0.9900085778653182,0.004661561672625843,"[{'seed': 42, 'test_accuracy': 0.9951534733441034, 'test_precision': 0.9952380415409244, 'test_recall': 0.9951534733441034, 'test_f1_score': 0.9951533755748444, 'training_time_seconds': 2654.9021410942078, 'best_epoch': 33}, {'seed': 43, 'test_accuracy': 0.9933584634715491, 'test_precision': 0.9934435489305056, 'test_recall': 0.9933584634715491, 'test_f1_score': 0.9933622347748466, 'training_time_seconds': 2890.8342711925507, 'best_epoch': 44}, {'seed': 44, 'test_accuracy': 0.9816908992999461, 'test_precision': 0.9822707084044678, 'test_recall': 0.9816908992999461, 'test_f1_score': 0.9816500974346992, 'training_time_seconds': 924.5869903564453, 'best_epoch': 8}, {'seed': 45, 'test_accuracy': 0.9892299407646742, 'test_precision': 0.9893857640220033, 'test_recall': 0.9892299407646742, 'test_f1_score': 0.9892102925821892, 'training_time_seconds': 1793.84805393219, 'best_epoch': 23}, {'seed': 46, 'test_accuracy': 0.9906659486627176, 'test_precision': 0.9907273320309924, 'test_recall': 0.9906659486627176, 'test_f1_score': 0.9906668889600116, 'training_time_seconds': 1907.4602327346802, 'best_epoch': 25}]"
